SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Glass Transition Temperature (°„C),¿¥‘¥
O=C([*])C(C)O[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,,59.1,10.3390_polym13132167_part_2.txt_∂Œ1_Material1
COC(C(C[*])([*])C)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,[Cu],,,100,10.1002_app.41378_part_1.txt_∂Œ1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,,,,41.2,10.1016_j.ijbiomac.2017.11.015_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,,27,10.1002_pi.4783_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],,,,,56,10.1016_j.compositesb.2017.11.048_part_3.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]C([H])([H])C(O)([H])[*],,,,54,10.1177_0021998320969793_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,56.4,10.1002_app.41246_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,6,10.1002_ejlt.201500029_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,110,10.1002_app.38764_part_1.txt_∂Œ1_Material1
[*]OCC[*],CCCC[Sn](OC(CC(C)CCCCCCCC)=O)(OC(CCCCCCCCCCC)=O)CCCC,,,,56.4,10.1002_app.38486_part_1.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[Zn]=O,[Zn]=O,,,77.7,10.1016_j.porgcoat.2011.03.004_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,,124,10.1021_ie302035e_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],,,,,10,10.4028_www.scientific.net_amr.332-334.1490_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=[Al]O[Al]=O,O=[Ti]=O,O=[Si]=O,O=[Si]=O,89.6,10.1016_j.porgcoat.2013.07.009_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,117.3,10.1016_j.conbuildmat.2013.09.028_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C([*])C(C)O[*],OCC(O)CO,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,[*]OCC[*],50,10.1007_s10924-021-02207-1_part_1.txt_∂Œ1_Material1
[*]CC([*])Cl,O=C([O-])[O-].[Ca+2],[Mg]=O,O=[Al]O[Al]=O,O=[Si]=O,50,10.1002_app.51469_part_1.txt_∂Œ1_Material1
O=C(O)C([*])C[*],[*]C(CCCCC(OCCCCO[*])=O)=O,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,81.8,10.1002_pc.25429_part_2.txt_∂Œ1_Material1
[*]NCCCCCCCCCCCC([*])=O,,,,,12,10.1016_j.eurpolymj.2013.06.004_part_2.txt_∂Œ1_Material2
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO,O=C(C1=CC=C(C=C1)OCCOC(C=C)=O)C(C)(C)O,[C],,125.14,10.1016_j.carbpol.2018.12.026_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CC(C1=CC=CC=C1)[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O.O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O.O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O.O,114.95,10.1002_app.38043_part_1.txt_∂Œ1_Material1
O=C(O[*])CCCCCCCCCCN[*],,,,,11,10.1016_j.eurpolymj.2013.06.004_part_2.txt_∂Œ1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,69.22,10.1179_174328409x410827_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,[H][Si]([H])([H])[H],[H][Si]([H])([H])[H],,145,10.1016_j.polymertesting.2018.11.013_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CCCC([*])OC(C)=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,85.1,10.1108_rpj-10-2018-0260_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,,,,78.67,10.1002_adv.21720_part_1.txt_∂Œ1_Material1
[*]CC(C#N)[*],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,[Fe]12O[Fe]O[Fe](O2)O1,,,90.8,10.1007_s12221-025-00926-z_OA_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,42,10.1179_174328910x12691245470031_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,,61,10.1021_acsomega.9b02217_part_1.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(C)C[*],[H][Si]([H])([H])[H],,50,10.1080_15440478.2020.1848723_part_5.txt_∂Œ1_Material1
[*]CC(C1=CC=CC=C1)[*],,,,,105.46,10.1002_pen.23382_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,35,10.1016_j.porgcoat.2010.04.002_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,,82,10.1002_pi.6079_part_1.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,,,,120,10.1002_pen.25109_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]O[C@@]([H])(C)C(O[C@](C)([H])C([*])=O)=O,C/C(C[*])=C/C[*],,,60.9,10.1002_pi.5916_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],,,,,99.2,10.1002_pc.25894_part_2.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,[H][Si]([H])([H])[H],,,148,10.1080_03602559.2014.909478_part_1.txt_∂Œ1_Material2
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[H][Si]([H])([H])[H],,,,145,10.1016_j.sna.2013.11.022_part_1.txt_∂Œ1_Material1
